hours-per-week,age,capital-gain,capital-loss,workclass,education-num,marital-status,race,gender,income,occupation
19,23,0,0,4,12,2,4,0,1,13
39,4,0,0,4,9,0,4,1,0,3
9,0,0,0,4,6,4,4,1,0,8
49,34,0,0,4,8,2,1,1,1,12
37,11,0,0,4,12,4,4,1,1,4
37,9,0,49,4,12,4,4,1,1,4
95,27,34,0,4,14,0,4,0,1,10
23,64,0,0,0,14,2,4,1,2,0
39,28,0,0,6,8,2,4,1,1,3
44,20,0,0,4,12,4,4,1,1,4
39,7,0,0,0,8,4,4,0,0,0
41,12,0,0,4,8,2,4,1,1,6
29,16,0,0,4,8,5,4,1,0,7
39,6,0,0,0,9,5,4,0,0,0
39,42,0,0,4,8,2,4,1,2,7
39,20,0,0,4,9,2,4,1,2,3
31,39,0,0,5,14,2,4,1,2,10
49,24,0,0,4,9,2,4,1,2,10
39,39,0,0,4,8,2,4,1,1,4
39,21,0,0,4,9,2,4,1,1,4
59,11,0,0,4,11,4,4,0,1,12
49,18,0,0,4,10,2,4,1,1,3
39,17,0,0,4,12,4,4,1,1,1
34,26,0,0,1,8,2,4,0,0,1
39,5,0,43,4,10,4,4,0,0,8
39,13,0,0,4,12,4,4,1,1,4
37,27,0,0,4,11,4,4,1,0,1
39,11,0,0,4,9,4,4,1,1,13
39,16,0,8,4,11,0,4,0,1,1
39,10,0,0,4,11,4,4,1,1,13
49,23,0,79,5,11,2,4,1,0,3
49,23,0,0,4,12,2,4,1,2,12
44,33,0,0,4,8,2,4,1,2,7
49,31,0,0,6,6,2,4,1,2,5
39,8,0,0,4,9,4,4,1,0,3
39,23,0,0,4,9,2,4,1,1,6
39,29,0,0,4,12,5,4,0,0,13
39,16,0,0,2,4,2,4,1,0,8
39,15,0,0,4,12,2,4,1,2,4
51,15,0,0,4,8,4,4,1,0,8
39,45,0,0,4,3,0,4,1,0,6
19,10,0,0,4,9,5,4,0,0,1
39,16,0,0,4,8,5,4,1,0,14
29,5,0,0,0,7,4,4,1,0,0
36,11,0,0,4,9,4,4,1,0,8
39,11,0,0,4,10,4,4,1,0,7
29,6,0,0,4,9,4,4,1,0,12
49,31,0,0,4,12,2,4,1,1,10
36,6,0,0,4,9,4,4,0,0,8
36,4,0,0,4,9,4,4,0,0,8
39,3,0,0,4,9,4,4,1,0,13
59,36,112,0,4,8,2,4,1,2,12
31,7,0,43,4,8,4,4,0,0,12
39,35,0,0,6,12,2,4,1,2,12
44,26,0,0,6,12,0,4,1,1,12
29,11,0,0,0,9,0,4,0,0,0
39,22,0,5,4,9,0,4,0,1,4
35,20,109,0,4,14,0,4,1,2,10
39,31,0,0,4,13,0,4,0,1,10
29,3,0,0,0,9,4,4,0,0,0
39,30,98,0,2,12,2,4,0,2,1
69,28,0,0,4,6,2,4,1,1,12
34,3,0,0,4,9,4,4,1,0,12
11,1,0,0,4,6,4,4,0,0,8
54,28,0,0,4,12,2,4,1,1,12
19,8,0,0,4,8,5,4,0,0,8
39,5,0,0,4,9,4,4,1,0,12
49,21,0,0,4,12,4,4,0,1,1
19,8,0,0,4,12,2,4,1,1,4
14,30,0,0,4,1,0,4,0,0,8
34,23,0,0,4,8,0,4,1,0,14
29,51,0,0,4,7,6,4,0,0,12
39,23,0,0,4,8,0,4,0,0,4
44,7,0,0,4,8,4,4,1,0,13
44,29,0,0,2,12,0,4,0,1,10
49,35,0,0,4,12,2,4,1,2,4
9,4,0,0,4,9,4,4,1,0,10
95,22,112,0,4,12,2,4,1,2,14
37,24,0,0,4,9,0,4,0,1,1
9,29,0,0,5,12,2,4,1,1,4
14,22,0,0,6,9,2,4,0,2,8
44,31,0,0,4,12,2,4,1,1,12
39,21,0,0,4,10,0,4,0,1,13
44,21,0,0,4,8,0,4,1,1,10
44,40,98,0,4,9,2,4,1,2,4
44,24,0,0,4,14,0,4,0,1,10
34,4,0,0,4,9,4,4,1,0,1
19,4,0,0,4,9,4,4,0,0,1
39,10,0,0,4,12,4,4,1,1,10
39,23,0,0,6,8,2,4,1,1,3
19,7,0,0,0,9,4,4,0,0,0
16,7,0,0,4,9,4,4,0,0,1
19,5,0,28,0,9,4,4,0,0,0
78,18,0,0,6,8,0,4,1,1,5
54,34,68,0,4,10,2,4,1,1,8
69,25,0,0,5,12,2,4,1,1,4
54,28,0,0,2,12,2,4,0,1,10
42,8,0,0,4,11,4,4,1,0,8
49,27,0,0,6,12,2,4,1,0,5
39,25,0,0,4,7,4,4,1,0,5
64,33,0,25,4,3,2,4,1,1,14
44,11,0,0,4,8,4,4,1,1,7
59,34,0,0,6,8,2,4,1,2,12
23,1,0,0,4,5,4,4,1,0,8
39,7,0,0,4,8,2,4,1,1,6
38,19,95,0,7,9,2,4,0,2,4
49,17,0,0,4,8,2,4,1,0,5
3,47,0,0,0,8,6,4,0,0,0
39,2,0,0,4,9,4,4,1,0,7
39,23,0,35,6,8,2,4,1,1,3
44,12,0,0,4,11,4,4,1,1,7
23,26,0,0,4,8,0,4,0,0,7
44,51,0,0,0,8,2,4,1,0,0
36,28,0,0,1,8,2,4,0,1,1
39,42,0,0,0,5,0,4,0,0,0
39,27,0,0,4,10,2,4,1,0,3
39,20,0,0,0,4,0,4,0,0,0
49,27,0,0,4,8,0,4,0,0,4
19,17,0,0,4,8,2,4,1,0,8
49,18,0,0,4,13,2,4,1,2,4
39,13,0,0,4,8,4,4,1,1,8
54,22,98,0,4,10,2,4,0,2,4
34,30,0,0,4,8,2,4,0,2,9
48,31,0,0,6,9,2,4,1,1,10
39,29,0,0,4,9,2,4,1,2,3
39,5,0,0,4,9,4,4,0,0,12
39,2,6,0,4,7,5,4,0,0,10
39,4,0,0,4,8,4,4,0,0,7
59,13,0,0,6,9,4,4,0,1,1
39,13,0,0,4,11,4,4,0,1,13
39,27,0,0,2,13,2,4,0,2,10
29,34,0,0,4,13,2,4,1,0,12
47,16,70,0,4,8,2,4,1,2,3
47,25,0,0,4,8,2,4,1,1,10
17,0,0,0,4,6,4,4,0,0,12
39,23,0,0,4,9,0,4,0,1,3
39,12,0,0,4,9,4,4,0,1,12
39,9,0,0,4,9,4,4,1,1,10
39,18,0,0,4,6,2,4,1,1,3
34,26,0,0,6,8,2,4,1,1,3
27,6,0,0,4,9,4,4,0,0,12
44,22,0,37,4,10,0,4,1,0,3
39,12,0,0,4,12,2,4,1,2,12
41,7,0,0,4,8,4,4,1,0,3
49,27,0,0,4,12,2,4,1,1,4
29,4,0,0,4,9,4,4,0,0,8
39,22,112,0,4,13,2,1,1,2,4
39,17,0,0,2,9,2,4,1,1,11
39,26,98,0,4,9,2,4,1,2,12
39,17,0,0,6,8,0,4,1,0,5
59,32,0,0,4,12,2,4,1,1,12
54,22,0,0,4,8,2,4,1,1,4
21,1,0,0,4,7,4,4,1,0,6
49,28,0,0,4,8,0,4,1,1,7
39,21,0,0,0,3,0,4,0,0,0
39,13,0,0,4,9,2,4,1,1,12
55,15,0,0,4,8,4,4,0,0,8
39,28,0,0,0,5,0,4,0,0,0
39,8,0,0,4,6,0,4,0,0,12
29,5,0,0,0,4,4,4,1,0,0
49,37,0,0,4,12,4,4,0,0,8
59,31,0,0,7,13,5,4,1,0,10
19,2,0,0,4,9,4,4,1,0,8
24,4,0,0,4,9,4,4,0,0,8
44,20,0,0,2,10,2,4,1,1,4
39,42,0,0,4,8,5,4,0,1,1
39,23,0,0,4,8,2,4,1,1,7
59,13,0,0,4,12,4,4,0,0,10
49,23,0,0,6,12,4,4,1,1,10
39,34,0,0,7,3,2,4,1,1,14
49,30,0,0,4,11,2,4,1,1,12
19,4,0,0,7,9,4,4,0,0,1
59,21,0,0,2,9,2,4,1,2,11
39,28,0,0,1,12,2,4,1,2,10
24,2,0,0,0,8,4,4,0,0,0
39,29,0,0,1,8,2,4,1,2,1
34,4,0,0,0,9,4,4,1,0,0
29,1,0,0,0,9,4,4,1,0,0
39,26,0,0,4,6,2,4,1,1,3
39,24,0,0,7,12,2,4,0,2,10
44,25,0,0,4,8,2,4,1,1,1
59,16,0,0,6,8,2,4,1,0,14
69,12,0,0,4,8,2,4,1,1,14
43,37,0,0,4,8,2,4,1,1,3
19,4,28,0,4,9,4,4,0,0,1
41,4,0,0,4,8,4,4,1,0,3
39,36,0,0,4,8,2,4,1,1,14
59,29,0,0,4,12,2,4,1,2,13
39,13,0,0,4,8,2,4,1,0,3
51,14,0,0,4,8,2,4,1,1,3
49,11,0,0,4,8,4,4,1,1,6
29,1,0,0,4,8,4,4,0,0,8
39,27,0,0,4,8,2,4,1,0,14
24,20,0,0,4,8,0,4,0,0,12
39,22,0,0,4,8,4,4,1,0,5
59,30,0,0,4,12,2,4,1,2,12
59,34,0,0,6,9,2,0,1,1,4
39,17,0,35,4,8,2,4,1,1,3
39,1,0,0,4,6,2,4,1,0,3
24,1,0,0,4,6,4,4,1,0,6
39,10,0,0,4,9,0,4,0,0,7
69,10,0,0,4,8,2,4,1,1,3
39,5,0,0,4,8,4,4,1,0,6
19,4,0,0,0,8,4,4,0,0,0
39,23,0,0,1,12,2,4,1,1,11
39,20,0,0,5,7,2,4,1,1,3
67,20,0,0,5,11,2,4,1,1,12
44,23,0,0,4,8,5,4,0,1,1
9,1,0,0,4,8,4,4,0,0,13
7,17,0,0,0,8,5,4,0,0,0
39,16,0,0,1,8,0,4,0,1,1
39,44,0,0,4,8,0,4,0,0,8
39,34,0,0,4,8,0,4,0,1,10
54,20,0,0,2,12,0,4,0,1,10
59,40,0,0,5,9,2,4,1,2,13
42,22,0,0,4,12,2,4,1,2,10
39,40,0,0,4,8,2,4,0,1,4
44,11,0,0,4,8,2,4,1,1,3
39,29,0,0,7,12,4,4,0,1,4
39,9,0,0,4,11,2,4,0,1,1
39,26,0,0,4,8,2,4,1,1,1
39,7,0,0,4,8,0,4,1,0,6
24,3,0,0,6,9,4,4,0,0,12
4,61,0,0,2,8,6,4,0,0,1
19,4,0,0,4,8,4,4,0,0,8
39,16,0,0,2,13,4,4,0,1,10
39,2,63,0,4,8,2,4,1,1,12
39,3,0,0,4,8,4,4,1,0,7
34,3,0,0,4,8,4,4,0,0,12
39,19,0,0,4,8,2,4,1,1,4
19,1,0,0,4,7,4,4,0,0,8
23,26,0,0,4,12,0,4,0,0,10
39,21,0,0,4,13,2,4,1,2,10
44,33,0,0,4,9,2,4,1,2,13
69,53,0,0,4,12,2,4,1,2,12
39,18,0,0,6,12,2,4,1,0,10
49,41,0,0,6,8,2,4,1,0,12
39,40,0,0,4,9,0,4,0,0,1
