sex,age,race,juv_fel_count,juv_misd_count,juv_other_count,priors_count,c_charge_degree,decile_score,score_text,two_year_recid
1,51,5,0,0,0,0,0,0,0,0
1,16,0,0,0,0,0,0,2,0,1
1,6,0,0,0,1,4,0,3,0,1
1,5,0,0,1,0,1,0,7,2,0
1,25,5,0,0,0,2,0,0,0,0
1,26,5,0,0,0,0,1,0,0,0
1,23,2,0,0,0,14,0,5,1,1
1,25,5,0,0,0,3,0,3,0,0
0,21,2,0,0,0,0,1,0,0,0
1,3,2,0,0,0,1,0,2,0,1
1,9,2,0,0,0,0,0,3,0,0
1,5,0,0,0,0,3,1,5,1,1
0,19,2,0,0,0,0,1,0,0,0
1,23,0,0,0,0,0,0,3,0,0
0,29,2,0,0,0,1,0,0,0,1
1,13,0,0,0,0,7,0,2,0,1
1,19,3,0,0,0,0,1,0,0,0
1,7,0,0,0,0,3,0,9,2,0
1,13,2,0,0,0,6,0,4,1,1
1,13,2,0,0,0,5,0,2,0,1
1,46,0,0,0,0,13,0,5,1,1
1,3,0,0,0,0,1,0,8,2,1
1,9,2,0,0,0,0,1,1,0,1
0,3,2,0,0,0,0,0,3,0,0
1,6,3,0,0,0,1,0,3,0,1
1,25,2,0,0,0,1,1,0,0,0
1,14,5,0,0,0,0,1,2,0,0
1,9,0,0,0,0,8,0,2,0,1
0,18,2,0,0,0,3,0,2,0,0
1,8,0,0,0,1,5,0,6,1,1
1,15,0,0,0,0,0,0,9,2,1
1,12,2,0,0,0,9,0,8,2,1
1,14,0,0,0,0,4,0,7,2,1
1,37,2,0,0,0,0,0,0,0,0
1,31,5,0,0,0,7,0,2,0,1
1,8,2,0,0,2,6,1,7,2,0
0,15,2,0,0,0,4,1,4,1,1
1,6,2,0,0,0,1,1,1,0,1
1,16,0,2,1,3,21,0,8,2,1
1,11,2,0,0,0,0,1,1,0,0
0,3,0,0,0,0,2,0,7,2,0
1,33,0,0,0,0,2,1,0,0,0
1,11,2,0,0,0,2,1,1,0,1
0,33,0,0,0,0,7,0,1,0,0
1,11,0,0,0,0,0,0,6,1,1
1,7,2,0,0,0,9,1,9,2,1
1,17,0,1,0,4,13,0,7,2,1
1,31,2,0,0,0,0,1,0,0,0
1,16,0,0,0,0,4,1,2,0,1
1,11,0,0,0,0,0,0,3,0,0
1,11,2,0,0,0,1,0,1,0,1
0,10,5,0,0,0,0,0,1,0,0
1,30,2,0,0,0,20,0,5,1,1
0,45,3,0,0,0,1,0,0,0,0
1,13,0,0,0,1,15,0,4,1,0
1,6,0,0,0,0,2,0,3,0,1
1,12,3,0,0,0,0,1,6,1,0
1,31,0,0,0,0,4,1,0,0,0
1,35,2,0,0,0,8,0,4,1,0
1,17,0,0,0,0,5,0,2,0,0
1,45,0,0,0,0,10,1,6,1,1
1,9,0,1,1,2,15,0,9,2,1
1,20,2,0,0,0,4,1,1,0,1
1,4,0,0,0,1,1,0,3,0,1
1,4,0,0,1,2,2,0,9,2,1
1,11,0,0,0,0,4,0,8,2,1
1,44,3,0,0,0,0,1,0,0,0
1,9,0,0,1,0,6,0,5,1,1
1,15,5,0,0,0,0,1,0,0,0
0,38,0,0,0,0,0,1,0,0,0
1,27,3,0,0,0,6,0,0,0,1
1,4,3,0,0,0,1,0,3,0,0
1,21,0,0,0,0,1,1,3,0,0
1,11,0,0,0,0,5,0,5,1,1
1,9,2,0,0,1,1,0,5,1,1
1,22,0,0,0,0,2,0,1,0,0
1,4,0,0,0,0,1,1,2,0,1
1,4,2,0,0,0,0,0,7,2,0
0,8,0,0,0,0,1,0,3,0,1
1,9,2,0,0,0,1,0,6,1,1
1,14,0,0,0,0,0,0,1,0,0
1,23,0,0,0,0,1,1,1,0,0
1,12,0,0,0,0,8,1,9,2,1
1,32,5,0,0,0,0,0,0,0,1
1,7,0,1,6,1,14,0,9,2,1
1,2,5,0,0,0,0,0,4,1,1
1,4,0,1,0,0,2,0,8,2,1
1,5,0,0,0,1,2,1,6,1,1
0,17,0,0,0,0,1,1,1,0,0
1,18,0,0,0,0,9,0,6,1,1
1,8,2,0,0,0,7,0,7,2,1
1,3,5,0,0,0,1,0,5,1,1
1,7,2,0,0,0,9,0,7,2,1
1,53,0,0,0,0,12,1,6,1,0
0,2,2,0,0,0,0,0,6,1,0
1,21,2,0,0,0,2,0,0,0,1
1,48,2,0,0,0,3,0,0,0,0
0,36,2,0,0,0,0,1,0,0,0
0,26,3,0,0,0,0,1,0,0,0
1,1,0,0,0,0,1,1,3,0,1
